,id,name,lat,lon,fequency
260,1300,Namadgi School O'Halloran Cct,-35.392579,149.068207,831
261,1301,Summerland Cct after Vanzetti Cr,-35.391096000000005,149.071581,419
262,1302,Summerland Cct before 1st Kingsmill St,-35.390978999999994,149.071495,414
263,1303,Summerland Cct before 2nd Kingsmill St,-35.390028,149.073554,414
264,1304,Summerland Cct after Livingston Av,-35.390173,149.073483,419
265,1319,Wheeler Cr before Wanniassa HS,-35.394195,149.08436899999998,212
266,1320,St Anthonys PS Wheeler Cr,-35.394895,149.080012,206
267,1321,Wheeler Cr after Wanniassa HS,-35.394279,149.08497,211
268,1322,Wheeler Cr opp St Anthonys PS,-35.394982,149.079947,209
269,1323,Fincham Cr after Morrissey St,-35.396159999999995,149.078911,434
270,1324,Fincham Cr after Wheeler Cr,-35.3963,149.079126,448
271,1325,Fincham Cr before Stutt St,-35.398613,149.080301,448
272,1326,Fincham Cr after 1st DeGraves Cr,-35.398902,149.08051799999998,434
273,1327,Forlonge St after Fincham Cr,-35.401053999999995,149.081262,312
274,1328,Forlonge St before Gair Pl,-35.401413,149.080926,303
275,1335,Sternberg Cr opp Houston St,-35.402386,149.09281000000001,876
276,1336,Sternberg Cr opp Whiteman Cr,-35.4012,149.09498200000002,876
277,1337,Sternberg Cr before Houston St,-35.40235,149.09272099999998,884
278,1338,Sternberg Cr after Whiteman St,-35.401034,149.095201,884
279,1339,Sternberg Cr after Langdon Av,-35.401439,149.098251,1822
280,1340,Sternberg Cr after Comrie St,-35.401696,149.098671,1778
281,1341,Drakeford Dr after Boddington Cr,-35.377342999999996,149.056195,293
282,1342,Drakeford Dr before Marconi Cr,-35.377347,149.056592,301
283,1343,Marconi Cr opp Kambah Village,-35.378927000000004,149.057634,418
284,1344,Kambah Village Marconi Cr,-35.379135999999995,149.057769,414
285,1345,Marconi Cr before 2nd Harrington Cct,-35.377833,149.06063600000002,419
286,1346,Marconi Cr after Wyselaskie Cct,-35.378267,149.06011,414
287,1347,Marconi Cr opp Taylor PS,-35.377614,149.064032,419
288,1348,Taylor PS Marconi Cr,-35.377741,149.06406,414
289,1349,Marconi Cr after 2nd Lascelles Cct,-35.378684,149.065348,414
290,1350,Marconi Cr after Inkster St,-35.378728,149.06549099999998,419
291,1351,Marconi Cr after 1st Lascelles Cct,-35.381701,149.065314,414
292,1352,Marconi Cr after Hutchison Cr,-35.381402,149.065583,419
293,1353,Summerland Cct before Hutchison Cr,-35.383371999999994,149.06747,419
294,1354,Summerland Cct opp Hutchison Cr,-35.383463,149.067486,414
295,1355,Summerland Cct before Mannheim St,-35.384914,149.070892,419
296,1356,Summerland Cct before 1st Gallagher St,-35.385020000000004,149.071134,414
297,1357,Summerland Cct after 2nd Lee-Steere Cr,-35.387624,149.075039,419
298,1358,Summerland Cct opp 1st Lee-Steere Cr,-35.387515,149.074926,414
299,1359,Langdon Av after Dyer Pl,-35.392409,149.089645,804
300,1360,Langdon Av after Macbain St,-35.392319,149.089323,822
301,1361,Langdon Av before Carr Cr,-35.392568,149.093016,822
302,1362,Langdon Av before Billson Pl,-35.392174,149.09368500000002,804
303,1363,Wanniassa Hills PS Langdon Av,-35.392151,149.095783,804
304,1364,Langdon Av opp Wanniassa Hills PS,-35.392879,149.09656,822
305,1365,Langdon Av after Gaunson Cr,-35.396342,149.09638700000002,822
306,1366,Langdon Av after Kirkton St,-35.396096,149.09623100000002,804
307,1367,Langdon Av before 2nd Brunton St,-35.397873,149.09741699999998,944
308,1368,Langdon Av before Longmore Cr,-35.397754,149.09741599999998,957
309,1369,Langdon Av before Embling St,-35.40037,149.097398,902
310,1370,Langdon Av before Bussau Cl,-35.400017,149.097735,938
311,1371,Drakeford Dr after Mortimer Lewis Dr,-35.402577,149.074423,459
312,1372,Drakeford Dr before Taverner St,-35.401228,149.074572,464
313,1373,Drakeford Dr after Taverner St,-35.408028,149.07353899999998,464
314,1374,Drakeford Dr after Soward Way,-35.408348,149.07307600000001,459
315,1375,Athllon Dr before Reed St,-35.418158,149.064405,4794
316,1376,Hindmarsh Dr after Ball St,-35.348742,149.08783,2207
317,1400,Newman-Morris Cct opp 2nd Connibere Cr,-35.407463,149.075673,446
318,1401,Newman-Morris Cct before 1st Connibere Cr,-35.407218,149.07568999999998,438
319,1402,Newman-Morris Cct before 1st Singleton Cr,-35.410852,149.075058,438
320,1403,77 Newman-Morris Cct,-35.410988,149.075168,446
321,1404,Newman-Morris Cct after 1st Collocott Cr,-35.413455,149.07607099999998,438
322,1405,Newman-Morris Cct opp 2nd Collocott Cr,-35.413534999999996,149.076332,446
323,1406,Newman-Morris Cct before 2nd Cuthbertson Cr,-35.412838,149.079376,446
324,1407,Newman-Morris Cct before 2nd Maconochie Cr,-35.413294,149.078626,438
325,1408,Lakeside Leisure Centre Anketell St,-35.41215,149.063186,2488
326,1409,Learmonth Dr after Vansittart Cr,-35.401969,149.060866,414
327,1410,Learmonth Dr opp Vansittart Cr,-35.402084,149.060775,411
328,1411,Vansittart Cr after 1st Stieglitz Cct,-35.400156,149.062603,414
